Order,LeftD,RightD,Target,correctresp,Lag,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response.keys,response.corr,response.rt,participant,session,date,expName,frameRate,
13,FEAR,None,M,m,4.0,0,0,0,12,z,0,1.834462666665786,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
16,None,None,M,m,None,0,1,1,15,n,0,1.0009391111088917,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
85,None,None,Z,z,None,0,2,2,84,m,0,0.7348906666666153,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
1,FEAR,None,Z,z,1.0,0,3,3,0,m,0,0.7500675555565977,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
5,FEAR,None,X,x,2.0,0,4,4,4,x,1,0.566966222220799,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
20,None,None,X,x,None,0,5,5,19,x,1,0.4336262222204823,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
28,None,None,M,m,None,0,6,6,27,x,0,0.43364533333442523,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
31,None,None,Z,z,None,0,7,7,30,x,0,1.1996471111087885,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
39,None,None,M,m,None,0,8,8,38,x,0,0.7322751111132675,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
89,None,None,Z,z,None,0,9,9,88,x,0,0.5022604444457102,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
78,None,None,X,x,None,0,10,10,77,z,0,0.8837835555568745,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
75,None,None,N,n,None,0,11,11,74,n,1,0.151475555554498,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
45,NEUTRAL,None,X,x,4.0,0,12,12,44,x,1,1.1331604444421828,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
72,None,None,M,m,None,0,13,13,71,m,1,1.2343591111130081,,001,2018_Dec_12_1319,LetterRSVP_rareD,59.95986686151256,
